Full_Name,Appointing_President_1,Party_of_Appointing_President_1,Degree_Number,School,Degree,Degree_Year,DYear,School_Neat,Degree_Neat
Ann L. Aiken,William J. Clinton,Democratic,2,Rutgers University,M.A.,1976-01-01,1976,Rutgers,M.A.
Garr M. King,William J. Clinton,Democratic,2,Northwestern School of Law of Lewis and Clark College,LL.B.,1963-01-01,1963,Northwestern of Lewis and Clark,LL.B.
Michael H. Simon,Barack Obama,Democratic,2,Harvard Law School,J.D.,1981-01-01,1981,Harvard,J.D.
Marco Antonio Hernandez,Barack Obama,Democratic,2,University of Washington School of Law,J.D.,1986-01-01,1986,Uof Washington,J.D.
Michael Jerome McShane,Barack Obama,Democratic,2,Northwestern School of Law of Lewis and Clark College,J.D.,1988-01-01,1988,Northwestern of Lewis and Clark,J.D.
Owen Murphy Panner,Jimmy Carter,Democratic,2,,,,,,
James Anthony Redden,Jimmy Carter,Democratic,2,,,,,,
Helen Jackson Frye,Jimmy Carter,Democratic,2,University of Oregon,M.A.,1961-01-01,1961,Uof Oregon,M.A.
John Cadwalader,James Buchanan,Democratic,2,Read law,,1825-01-01,1825,Read law,
James Buchanan Holland,Theodore Roosevelt,Republican,2,,,,,,
Oliver Booth Dickinson,Woodrow Wilson,Democratic,2,Read law,,1878-01-01,1878,Read law,
William Huntington Kirkpatrick,Calvin Coolidge,Republican,2,Lafayette College,A.B.,1905-01-01,1905,Lafayette,B.A.
Guy Kurtz Bard,Franklin D. Roosevelt,Democratic,2,University of Pennsylvania Law School,LL.B.,1922-01-01,1922,Uof Pennsylvania,LL.B.
George Austin Welsh,Herbert Hoover,Republican,2,,,,,,
Thomas C. Egan,Dwight D. Eisenhower,Republican,2,,,,,,
Harold Kenneth Wood,Dwight D. Eisenhower,Republican,2,University of Pennsylvania Law School,LL.B.,1934-01-01,1934,Uof Pennsylvania,LL.B.
"John Whitaker Lord, Jr.",Dwight D. Eisenhower,Republican,2,,,,,,
"C[harles] William Kraft, Jr.",Dwight D. Eisenhower,Republican,2,University of Pennsylvania Law School,LL.B.,1927-01-01,1927,Uof Pennsylvania,LL.B.
James Patrick McGranery,Harry S Truman,Democratic,2,,,,,,
Thomas James Clary,Harry S Truman,Democratic,2,Georgetown College Law School (now Georgetown University Law Center),LL.B.,1924-01-01,1924,Georgetown,LL.B.
Allan Kuhn Grim,Harry S Truman,Democratic,2,Harvard Law School,LL.B.,1929-01-01,1929,Harvard,LL.B.
John Berne Hannum,Richard M. Nixon,Republican,2,,,,,,
Clifford Scott Green,Richard M. Nixon,Republican,2,Temple University School of Law,J.D.,1951-01-01,1951,Temple,J.D.
Louis Charles Bechtle,Richard M. Nixon,Republican,2,Temple University School of Law,LL.B.,1954-01-01,1954,Temple,LL.B.
Herbert Allan Fogel,Richard M. Nixon,Republican,2,University of Pennsylvania Law School,J.D.,1952-01-01,1952,Uof Pennsylvania,J.D.
Clarence Charles Newcomer,Richard M. Nixon,Republican,2,Dickinson School of Law,J.D.,1948-01-01,1948,Dickinson,J.D.
"Joseph Leo McGlynn, Jr.",Richard M. Nixon,Republican,2,University of Pennsylvania Law School,LL.B.,1951-01-01,1951,Uof Pennsylvania,LL.B.
"John William Ditter, Jr.",Richard M. Nixon,Republican,2,University of Pennsylvania Law School,LL.B.,1948-01-01,1948,Uof Pennsylvania,LL.B.
"Daniel Henry Huyett, III",Richard M. Nixon,Republican,2,University of Pennsylvania Law School,J.D.,1948-01-01,1948,Uof Pennsylvania,J.D.
Donald West VanArtsdalen,Richard M. Nixon,Republican,2,,,,,,
James Henry Gorbey,Richard M. Nixon,Republican,2,Temple University School of Law,LL.B.,1949-01-01,1949,Temple,LL.B.
Raymond Joseph Broderick,Richard M. Nixon,Republican,2,University of Pennsylvania Law School,J.D.,1938-01-01,1938,Uof Pennsylvania,J.D.
William Butler,Rutherford B. Hayes,Republican,2,,,,,,
John Morgan Davis,Lyndon B. Johnson,Democratic,2,University of Pennsylvania Law School,LL.B.,1932-01-01,1932,Uof Pennsylvania,LL.B.
John Patrick Fullam,Lyndon B. Johnson,Democratic,2,Harvard Law School,J.D.,1948-01-01,1948,Harvard,J.D.
Charles R. Weiner,Lyndon B. Johnson,Democratic,2,Temple University School of Law,LL.B.,1949-01-01,1949,Temple,LL.B.
Thomas Ambrose Masterson,Lyndon B. Johnson,Democratic,2,University of Pennsylvania Law School,LL.B.,1952-01-01,1952,Uof Pennsylvania,LL.B.
E[manuel] Mac Troutman,Lyndon B. Johnson,Democratic,2,Dickinson School of Law,LL.B.,1936-01-01,1936,Dickinson,LL.B.
Charles Louis McKeehan,Warren G. Harding,Republican,2,University of Pennsylvania Law School,LL.B.,1900-01-01,1900,Uof Pennsylvania,LL.B.
Eduardo C. Robreno,George H.W. Bush,Republican,2,University of Massachusetts,M.A.,1969-01-01,1969,Uof Massachusetts,M.A.
"William Hendricks Yohn, Jr.",George H.W. Bush,Republican,2,Princeton University,B.A.,1957-01-01,1957,Princeton,B.A.
Ronald Lawrence Buckwalter,George H.W. Bush,Republican,2,William and Mary Law School,B.C.L.,1962-01-01,1962,William and Mary,B.C.L.
"Harvey Bartle, III",George H.W. Bush,Republican,2,University of Pennsylvania Law School,LL.B.,1965-01-01,1965,Uof Pennsylvania,LL.B.
Stewart R. Dalzell,George H.W. Bush,Republican,2,University of Pennsylvania Law School,J.D.,1969-01-01,1969,Uof Pennsylvania,J.D.
John R. Padova,George H.W. Bush,Republican,2,Temple University School of Law,J.D.,1959-01-01,1959,Temple,J.D.
J. Curtis Joyner,George H.W. Bush,Republican,2,"Central State University, Ohio",B.S.,1971-01-01,1971,"Central State, Ohio",B.S.
Anita Blumstein Brody,George H.W. Bush,Republican,2,Columbia Law School,J.D.,1958-01-01,1958,Columbia,J.D.
Timothy J. Savage,George W. Bush,Republican,2,Temple University School of Law,J.D.,1971-01-01,1971,Temple,J.D.
James Knoll Gardner,George W. Bush,Republican,2,Harvard Law School,J.D.,1965-01-01,1965,Harvard,J.D.
Joel Harvey Slomsky,George W. Bush,Republican,2,New York Law School,J.D.,1970-01-01,1970,New York,J.D.
Paul Steven Diamond,George W. Bush,Republican,2,University of Pennsylvania Law School,J.D.,1977-01-01,1977,Uof Pennsylvania,J.D.
Gene E.K. Pratter,George W. Bush,Republican,2,University of Pennsylvania Law School,J.D.,1975-01-01,1975,Uof Pennsylvania,J.D.
Thomas M. Golden,George W. Bush,Republican,2,Dickinson School of Law,J.D.,1972-01-01,1972,Dickinson,J.D.
Lawrence F. Stengel,George W. Bush,Republican,2,University of Pittsburgh School of Law,J.D.,1980-01-01,1980,Uof Pittsburgh,J.D.
"C. Darnell Jones, II",George W. Bush,Republican,2,"AmeriUniversity, Washington College of Law",J.D.,1975-01-01,1975,"AmeriUniversity, Washington",J.D.
Juan Ramon SÃ¡nchez,George W. Bush,Republican,2,University of Pennsylvania Law School,J.D.,1981-01-01,1981,Uof Pennsylvania,J.D.
Michael M. Baylson,George W. Bush,Republican,2,University of Pennsylvania Law School,LL.B.,1964-01-01,1964,Uof Pennsylvania,LL.B.
Cynthia M. Rufe,George W. Bush,Republican,2,State University of New York at Buffalo Law School,J.D.,1977-01-01,1977,State Uof New York at Buffalo,J.D.
Legrome D. Davis,George W. Bush,Republican,2,Rutgers School of Law -- Camden,J.D.,1976-01-01,1976,Rutgers,J.D.
Mitchell S. Goldberg,George W. Bush,Republican,2,Temple University School of Law,J.D.,1986-01-01,1986,Temple,J.D.
"Lowell A. Reed, Jr.",Ronald Reagan,Republican,2,University of Wisconsin,B.B.A.,1952-01-01,1952,Uof Wisconsin,B.B.A.
Jan Ely DuBois,Ronald Reagan,Republican,2,Yale Law School,LL.B.,1957-01-01,1957,Yale,LL.B.
Herbert J. Hutton,Ronald Reagan,Republican,2,Temple University School of Law,J.D.,1962-01-01,1962,Temple,J.D.
Marvin Katz,Ronald Reagan,Republican,2,Yale Law School,LL.B.,1954-01-01,1954,Yale,LL.B.
James McGirr Kelly,Ronald Reagan,Republican,2,Temple University School of Law,J.D.,1957-01-01,1957,Temple,J.D.
"Thomas Newman O'Neill, Jr.",Ronald Reagan,Republican,2,University of Pennsylvania Law School,LL.B.,1953-01-01,1953,Uof Pennsylvania,LL.B.
"Robert S. Gawthrop, III",Ronald Reagan,Republican,2,Dickinson School of Law,J.D.,1970-01-01,1970,Dickinson,J.D.
Jay Carl Waldman,Ronald Reagan,Republican,2,University of Pennsylvania Law School,LL.B.,1969-01-01,1969,Uof Pennsylvania,LL.B.
Robert F. Kelly,Ronald Reagan,Republican,2,Temple University School of Law,LL.B.,1960-01-01,1960,Temple,LL.B.
Edmund V. Ludwig,Ronald Reagan,Republican,2,Harvard Law School,LL.B.,1952-01-01,1952,Harvard,LL.B.
R[ichard] Barclay Surrick,William J. Clinton,Democratic,2,Dickinson School of Law,J.D.,1965-01-01,1965,Dickinson,J.D.
Mary A. McLaughlin,William J. Clinton,Democratic,2,Bryn Mawr College,M.A.,1969-01-01,1969,Bryn Mawr,M.A.
Bruce William Kauffman,William J. Clinton,Democratic,2,Yale Law School,LL.B.,1959-01-01,1959,Yale,LL.B.
Petrese B. Tucker,William J. Clinton,Democratic,2,Temple University School of Law,J.D.,1976-01-01,1976,Temple,J.D.
Berle M. Schiller,William J. Clinton,Democratic,2,New York University School of Law,J.D.,1968-01-01,1968,New York,J.D.
Nitza Ileana QuiÃ±ones Alejandro,Barack Obama,Democratic,2,University of Puerto Rico School of Law,J.D.,1975-01-01,1975,Uof Puerto Rico,J.D.
"Joseph F. Leeson, Jr.",Barack Obama,Democratic,2,Catholic University of AmeriColumbus School of Law,J.D.,1980-01-01,1980,Catholic Uof AmeriColumbus,J.D.
Jeffrey L. Schmehl,Barack Obama,Democratic,2,University of Toledo College of Law,J.D.,1980-01-01,1980,Uof Toledo,J.D.
"Gerald Austin McHugh, Jr.",Barack Obama,Democratic,2,University of Pennsylvania Law School,J.D.,1979-01-01,1979,Uof Pennsylvania,J.D.
Edward George Smith,Barack Obama,Democratic,2,Dickinson School of Law,J.D.,1986-01-01,1986,Dickinson,J.D.
Wendy Beetlestone,Barack Obama,Democratic,2,University of Pennsylvania Law School,J.D.,1993-01-01,1993,Uof Pennsylvania,J.D.
Gerald John Pappert,Barack Obama,Democratic,2,Notre Dame Law School,J.D.,1988-01-01,1988,Notre Dame,J.D.
Mark A. Kearney,Barack Obama,Democratic,2,Villanova University School of Law,J.D.,1987-01-01,1987,Villanova,J.D.
Archibald Randall,John Tyler,Whig,2,,,,,,
,Donald J. Trump,Republican,2,Harvard Law School,J.D.,1999-01-01,1999,Harvard,J.D.
"Chad Francis Kenney, Sr.",Donald J. Trump,Republican,2,Temple University School of Law,J.D.,1980-01-01,1980,Temple,J.D.
John Kintzing Kane,James K. Polk,Democratic,2,Read law,,1817-01-01,1817,Read law,
Ralph C. Body,John F. Kennedy,Democratic,2,University of Pennsylvania Law School,LL.B.,1928-01-01,1928,Uof Pennsylvania,LL.B.
"Joseph Simon Lord, III",John F. Kennedy,Democratic,2,University of Pennsylvania Law School,LL.B.,1936-01-01,1936,Uof Pennsylvania,LL.B.
Alfred Leopold Luongo,John F. Kennedy,Democratic,2,University of Pennsylvania Law School,LL.B.,1947-01-01,1947,Uof Pennsylvania,LL.B.
Edward Norman Cahn,Gerald Ford,Republican,2,Yale Law School,LL.B.,1958-01-01,1958,Yale,LL.B.
Joseph Hopkinson,John Quincy Adams,Jeffersonian Republican,2,Read law,,1791-01-01,1791,Read law,
Louis Heilprin Pollak,Jimmy Carter,Democratic,2,Yale Law School,LL.B.,1948-01-01,1948,Yale,LL.B.
James Tyrone Giles,Jimmy Carter,Democratic,2,Yale Law School,LL.B.,1967-01-01,1967,Yale,LL.B.
Norma Levy Shapiro,Jimmy Carter,Democratic,2,University of Pennsylvania Law School,J.D.,1951-01-01,1951,Uof Pennsylvania,J.D.
William Giles Jones,James Buchanan,Democratic,2,University of Virginia,,,,Uof Virginia,
Robert Tait Ervin,Woodrow Wilson,Democratic,2,,,,,,
John McDuffie,Franklin D. Roosevelt,Democratic,2,University of Alabama School of Law,LL.B.,1908-01-01,1908,Uof Alabama,LL.B.
Harry Theophilus Toulmin,Grover Cleveland,Democratic,2,,,,,,
Harry Theophilus Toulmin,Grover Cleveland,Democratic,2,,,,,,
George Washington Lane,Abraham Lincoln,Republican,2,,,,,,
Richard Busteed,Abraham Lincoln,Republican,2,,,,,,
Daniel Holcombe Thomas,Harry S Truman,Democratic,2,,,,,,
William Brevard Hand,Richard M. Nixon,Republican,2,University of Alabama School of Law,LL.B.,1949-01-01,1949,Uof Alabama,LL.B.
Thomas Virgil Pittman,Lyndon B. Johnson,Democratic,2,University of Alabama School of Law,LL.B.,1940-01-01,1940,Uof Alabama,LL.B.
"Richard W. Vollmer, Jr.",George H.W. Bush,Republican,2,,,,,,
William H. Steele,George W. Bush,Republican,2,University of Alabama School of Law,J.D.,1980-01-01,1980,Uof Alabama,J.D.
Kristi DuBose,George W. Bush,Republican,2,Emory University School of Law,J.D.,1989-01-01,1989,Emory,J.D.
Callie V. Granade,George W. Bush,Republican,2,University of Texas School of Law,J.D.,1975-01-01,1975,Uof Texas,J.D.
"Charles Randolph Butler, Jr.",Ronald Reagan,Republican,2,Washington and Lee University,B.A.,1962-01-01,1962,Washington and Lee,B.A.
"Alex T. Howard, Jr.",Ronald Reagan,Republican,2,,,,,,
,Donald J. Trump,Republican,2,University of Alabama School of Law,J.D.,1986-01-01,1986,Uof Alabama,J.D.
,Donald J. Trump,Republican,2,University of Alabama School of Law,J.D.,1998-01-01,1998,Uof Alabama,J.D.
John Gayle,Zachary Taylor,Whig,2,Read law,,1818-01-01,1818,Read law,
Wilson McCandless,James Buchanan,Democratic,2,Read law,,1831-01-01,1831,Read law,
Nathaniel Ewing,Theodore Roosevelt,Republican,2,College of New Jersey (now Princeton University),A.M.,1872-01-01,1872,Princeton,M.A.
James Scott Young,Theodore Roosevelt,Republican,2,Read law,,1872-01-01,1872,Read law,
W. H. Seward Thomson,Woodrow Wilson,Democratic,2,Marshall College (now Marshall University),,,,Marshall,
Nelson McVicar,Calvin Coolidge,Republican,2,Read law,,1896-01-01,1896,Read law,
John Lester Miller,Dwight D. Eisenhower,Republican,2,University of Pittsburgh School of Law,LL.B.,1926-01-01,1926,Uof Pittsburgh,LL.B.
Joseph Putnam Willson,Dwight D. Eisenhower,Republican,2,Temple University School of Law,LL.B.,1931-01-01,1931,Temple,LL.B.
John Wilson McIlvaine,Dwight D. Eisenhower,Republican,2,University of Pittsburgh School of Law,LL.B.,1932-01-01,1932,Uof Pittsburgh,LL.B.
Herbert Peter Sorg,Dwight D. Eisenhower,Republican,2,,,,,,
Winthrop Welles Ketcham,Ulysses Grant,Republican,2,,,,,,
William Alvah Stewart,Harry S Truman,Democratic,2,Harvard Law School,LL.B.,1928-01-01,1928,Harvard,LL.B.
"Rabe Ferguson Marsh, Jr.",Harry S Truman,Democratic,2,University of Pittsburgh School of Law,LL.B.,1930-01-01,1930,Uof Pittsburgh,LL.B.
Wallace Samuel Gourley,Harry S Truman,Democratic,2,,,,,,
Owen McIntosh Burns,Harry S Truman,Democratic,2,University of Illinois College of Law,LL.B.,1921-01-01,1921,Uof Illinois,LL.B.
Ralph Francis Scalera,Richard M. Nixon,Republican,2,University of Pennsylvania Law School,LL.B.,1955-01-01,1955,Uof Pennsylvania,LL.B.
Hubert Irving Teitelbaum,Richard M. Nixon,Republican,2,University of Pittsburgh School of Law,LL.B.,1940-01-01,1940,Uof Pittsburgh,LL.B.
"Daniel John Snyder, Jr.",Richard M. Nixon,Republican,2,University of Pittsburgh School of Law,LL.B.,1940-01-01,1940,Uof Pittsburgh,LL.B.
William W. Knox,Richard M. Nixon,Republican,2,University of Michigan Law School,J.D.,1935-01-01,1935,Uof Michigan,J.D.
Barron Patterson McCune,Richard M. Nixon,Republican,2,University of Pennsylvania Law School,LL.B.,1938-01-01,1938,Uof Pennsylvania,LL.B.
Gerald Joseph Weber,Lyndon B. Johnson,Democratic,2,University of Pennsylvania Law School,LL.B.,1939-01-01,1939,Uof Pennsylvania,LL.B.
Charles Prentiss Orr,William H. Taft,Republican,2,Read law,,1881-01-01,1881,Read law,
Robert Murray Gibson,Warren G. Harding,Republican,2,Read law,,1894-01-01,1894,Read law,
Frederic Palen Schoonmaker,Warren G. Harding,Republican,2,Read law,,1894-01-01,1894,Read law,
Donald John Lee,George H.W. Bush,Republican,2,Duquesne University School of Law,LL.B.,1954-01-01,1954,Duquesne,LL.B.
Terrence F. McVerry,George W. Bush,Republican,2,Duquesne University School of Law,J.D.,1968-01-01,1968,Duquesne,J.D.
David S. Cercone,George W. Bush,Republican,2,Duquesne University School of Law,J.D.,1977-01-01,1977,Duquesne,J.D.
Joy Flowers Conti,George W. Bush,Republican,2,Duquesne University School of Law,J.D.,1973-01-01,1973,Duquesne,J.D.
Nora Barry Fischer,George W. Bush,Republican,2,Notre Dame Law School,J.D.,1976-01-01,1976,Notre Dame,J.D.
Arthur J. Schwab,George W. Bush,Republican,2,University of Virginia School of Law,J.D.,1972-01-01,1972,Uof Virginia,J.D.
Kim R. Gibson,George W. Bush,Republican,2,Dickinson School of Law,J.D.,1975-01-01,1975,Dickinson,J.D.
Glenn Everell Mencer,Ronald Reagan,Republican,2,University of Michigan Law School,J.D.,1952-01-01,1952,Uof Michigan,J.D.
William Lloyd Standish,Ronald Reagan,Republican,2,University of Virginia School of Law,LL.B.,1956-01-01,1956,Uof Virginia,LL.B.
Gary L. Lancaster,William J. Clinton,Democratic,2,University of Pittsburgh School of Law,J.D.,1974-01-01,1974,Uof Pittsburgh,J.D.
Sean J. McLaughlin,William J. Clinton,Democratic,2,Georgetown University Law Center,J.D.,1980-01-01,1980,Georgetown,J.D.
Donetta W. Ambrose,William J. Clinton,Democratic,2,Duquesne University School of Law,J.D.,1970-01-01,1970,Duquesne,J.D.
Robert J. Cindrich,William J. Clinton,Democratic,2,University of Pittsburgh School of Law,J.D.,1968-01-01,1968,Uof Pittsburgh,J.D.
Mark Raymond Hornak,Barack Obama,Democratic,2,University of Pittsburgh School of Law,J.D.,1981-01-01,1981,Uof Pittsburgh,J.D.
Cathy Bissoon,Barack Obama,Democratic,2,Harvard Law School,J.D.,1993-01-01,1993,Harvard,J.D.
Thomas Irwin,Andrew Jackson,Democratic,2,Read law,,1808-01-01,1808,Read law,
Jonathan Hoge Walker,James Monroe,Jeffersonian Republican,2,Read law,,1790-01-01,1790,Read law,
William Wilkins,James Monroe,Jeffersonian Republican,2,Dickinson College,,1802-01-01,1802,Dickinson,
,Donald J. Trump,Republican,2,University of Pittsburgh School of Law,J.D.,1979-01-01,1979,Uof Pittsburgh,J.D.
,Donald J. Trump,Republican,2,Stanford Law School,J.D.,1998-01-01,1998,Stanford,J.D.
,Donald J. Trump,Republican,2,Temple University,M.Ed.,1980-01-01,1980,Temple,M.Ed.
Edward Dumbauld,John F. Kennedy,Democratic,2,Harvard Law School,LL.B.,1929-01-01,1929,Harvard,LL.B.
Louis Rosenberg,John F. Kennedy,Democratic,2,,,,,,
James Hay Reed,Benjamin Harrison,Republican,2,Read law,,1875-01-01,1875,Read law,
"Maurice Blanchard Cohill, Jr.",Gerald Ford,Republican,2,University of Pittsburgh School of Law,LL.B.,1956-01-01,1956,Uof Pittsburgh,LL.B.
Paul Allen Simmons,Jimmy Carter,Democratic,2,Harvard Law School,J.D.,1949-01-01,1949,Harvard,J.D.
Donald Emil Ziegler,Jimmy Carter,Democratic,2,Georgetown College (now Georgetown University) Law Center,LL.B.,1961-01-01,1961,Georgetown,LL.B.
Alan Neil Bloch,Jimmy Carter,Democratic,2,University of Pittsburgh School of Law,J.D.,1958-01-01,1958,Uof Pittsburgh,J.D.
Gustave Diamond,Jimmy Carter,Democratic,2,Duquesne University School of Law,J.D.,1956-01-01,1956,Duquesne,J.D.
Leonard Eugene Wales,Chester A. Arthur,Republican,2,Read law,,1848-01-01,1848,Read law,
Hugh Martin Morris,Woodrow Wilson,Democratic,2,Read law,,1903-01-01,1903,Read law,
Paul Conway Leahy,Franklin D. Roosevelt,Democratic,2,University of Pennsylvania Law School,LL.B.,1929-01-01,1929,Uof Pennsylvania,LL.B.
John Percy Nields,Herbert Hoover,Republican,2,Harvard Law School,LL.B.,1892-01-01,1892,Harvard,LL.B.
"Edwin DeHaven Steel, Jr.",Dwight D. Eisenhower,Republican,2,Yale Law School,LL.B.,1931-01-01,1931,Yale,LL.B.
"Caleb Rodney Layton, III",Dwight D. Eisenhower,Republican,2,Princeton University,A.B.,1930-01-01,1930,Princeton,B.A.
Caleb Merrill Wright,Dwight D. Eisenhower,Republican,2,Yale Law School,LL.B.,1933-01-01,1933,Yale,LL.B.
Edward Green Bradford,Ulysses Grant,Republican,2,Read law,,1842-01-01,1842,Read law,
Richard Seymour Rodney,Harry S Truman,Democratic,2,,,,,,
Murray Merle Schwartz,Richard M. Nixon,Republican,2,University of Pennsylvania Law School,LL.B.,1955-01-01,1955,Uof Pennsylvania,LL.B.
